Year,State,State Abbr,District,Democratic Votes,Republican Votes,Total Votes,Democratic Percentage,Republican Percentage,Voting Eligible Male,Voting Eligible Female,Voting Eligible Population,Total Population,Voter Turnout,Median Age,White,White (non Hispanic or Latino),Hispanic or Latino,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Male 18+ birthright,Male 18+ bloodright,Male 18+ naturalized,Male 18+ not citizen,Female 18+ birthright,Female 18+ bloodright,Female 18+ naturalized,Female 18+ not citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,No income,Median income,Total poverty,Income below poverty (White male),Income below poverty (White female),Income above poverty (White male),Income above poverty (White female),Income below poverty (Black male),Income below poverty (Black female),Income above poverty (Black male),Income above poverty (Black female),State FIPS
2020,Oregon,OR,5,234863,204372,452646,51.89,45.15,332455,351486,683941,839214,66.18,39.6,695946,618854,143538,8249,7889,23230,4619,58294,414090,425124,46229,279244,37979,15232,22747,293363,39317,18806,20511,57704,133701,200903,119006,65916,682785,77979,32632,823440,30726,37394,303799,312508,1006,750,3476,2477,41
2020,Pennsylvania,PA,1,191875,249804,441679,43.44,56.56,296559,314983,611542,709715,72.22,43.7,599503,577471,38938,28627,664,43215,185,23617,348395,361320,25157,240105,34202,22252,11950,253461,36249,25273,10976,30404,140774,121518,129209,86074,592567,57191,41415,699645,12678,18329,278407,281799,1395,1537,11956,12736,42
2020,Pennsylvania,PA,2,198140,75022,273162,72.54,27.46,293837,332980,626817,741380,43.58,35.1,341605,277857,194487,197186,2686,61544,202,37199,356362,385018,61218,204267,58976,30594,28382,230744,63513,38723,24790,89444,182815,111933,72789,39443,586370,89244,25810,728686,25686,32017,137601,139791,22267,30767,66786,72902,42
2020,Pennsylvania,PA,3,341708,33671,375379,91.03,8.97,283302,337485,620787,721131,60.47,34.0,235239,220213,33677,406159,2155,41737,362,25458,336114,385017,34832,236220,31829,15253,16576,288938,32086,16461,15625,51670,131529,113750,109104,98322,607508,81416,30285,691118,12402,15151,94416,97584,49091,60292,130489,157483,42
2020,Pennsylvania,PA,4,264637,179926,444563,59.53,40.47,296479,320015,616494,730845,72.11,41.5,576296,553104,39012,69994,683,47689,317,24931,356987,373858,30351,242357,33859,20263,13596,262117,35850,22048,13802,28906,124913,113486,143326,106320,601904,60240,43395,712597,11530,15332,264393,274239,3249,4455,26939,29596,42
2020,Pennsylvania,PA,5,255743,139552,395295,64.7,35.3,284312,320713,605025,717928,65.34,38.3,454240,439526,33855,175883,1564,50138,386,24246,343390,374538,40472,221846,39929,22537,17392,253006,43064,24643,18421,40060,144956,116145,106449,81622,585880,72869,35057,694011,12024,16655,200527,209196,15865,22714,61876,69829,42
2020,Pennsylvania,PA,6,226440,177526,403966,56.05,43.95,287101,305811,592912,731115,68.13,39.6,579662,525000,113580,46434,1595,33347,166,39295,358311,372804,39564,238486,33078,15537,17541,254547,34342,16922,17420,42257,118496,104106,136037,92537,591140,61369,39353,713893,17918,24114,259274,266690,3780,4174,17645,17176,42
2020,Pennsylvania,PA,7,195475,181407,376882,51.87,48.13,297324,317986,615310,730122,61.25,40.5,576551,501833,142561,53920,1915,22785,290,42373,358133,371989,30631,244666,33149,19509,13640,261550,35053,21383,13670,49247,167754,131186,96038,60655,603152,61548,32372,707359,22923,27508,250783,258185,4174,4363,21721,21091,42
2020,Pennsylvania,PA,8,178004,165783,343787,51.78,48.22,286034,297519,583553,694063,58.91,43.3,590418,544870,85641,41124,1122,13218,386,26458,343576,350487,22436,250839,22406,12789,9617,259622,24061,13836,10225,47193,185991,137321,77422,47596,582766,61719,28771,672206,29116,38405,252219,254582,3986,4818,14618,13537,42
2020,Pennsylvania,PA,9,118266,232988,351254,33.67,66.33,286379,291648,578027,705602,60.77,43.4,643018,619621,50497,18376,882,7591,217,16681,352705,352897,8513,271085,9444,5850,3594,273926,10866,6856,4010,52509,214885,124972,70323,40225,590987,63395,30949,674429,25629,33653,280711,281127,1193,1403,4197,4292,42
2020,Pennsylvania,PA,10,182938,208896,391834,46.69,53.31,290349,310426,600775,736031,65.22,40.1,575522,543607,63755,83925,1572,28857,170,29607,360385,375646,24629,255778,22896,11675,11221,274731,22972,12723,10249,43045,173242,131716,104936,60441,603382,56819,35195,712183,17615,24372,251946,265200,8048,10062,30920,30502,42
2020,Pennsylvania,PA,11,141325,241915,383240,36.88,63.12,282363,301148,583511,735086,65.68,39.7,653643,615533,65915,27037,744,14464,343,22525,360840,374246,13116,259543,14195,8625,5570,274783,16278,10087,6191,65411,181969,117148,89408,49350,594213,55787,33663,721608,19530,26901,295960,299523,2548,2644,10776,10231,42
2020,Pennsylvania,PA,12,99199,241035,340234,29.16,70.84,282686,285190,567876,696809,59.91,41.1,649634,639093,17515,15216,941,12067,164,14924,349185,347624,12241,270027,9296,3363,5933,271187,9593,4410,5183,48161,199988,112863,67338,46087,584317,61527,27614,657983,35041,42215,273281,269303,1792,2110,3768,2472,42
2020,Pennsylvania,PA,13,96612,267789,364401,26.51,73.49,277858,284809,562667,695441,64.76,44.2,648852,634059,23901,20608,938,4374,92,14967,346713,348728,8080,267491,7242,3125,4117,273383,7338,4088,3250,51541,220658,121881,65884,39043,581274,55958,29777,671220,28285,36278,283223,283667,1584,2168,6744,5076,42
2020,Pennsylvania,PA,14,131895,241688,373583,35.31,64.69,273897,287631,561528,685084,66.53,45.6,639155,632817,9843,21398,267,6134,211,15633,337312,347772,5147,265220,5744,2933,2811,278799,5379,3453,1926,35088,194363,132838,89707,49049,578850,55514,31006,665122,26054,36333,278276,283411,2623,3026,6289,5934,42
2020,Pennsylvania,PA,15,92156,255058,347214,26.54,73.46,281307,273316,554623,677288,62.6,44.6,644314,638385,10437,13573,527,4755,102,11695,345359,331929,6324,274009,5720,1578,4142,267241,3993,2082,1911,42067,223558,119461,66080,37404,574161,61809,27366,643110,35373,41670,275218,269670,914,638,1699,1539,42
2020,Pennsylvania,PA,16,143962,210088,354050,40.66,59.34,269193,284064,553257,684242,63.99,42.3,618361,609117,18217,31666,933,8009,111,20191,336660,347582,8320,257427,7710,4056,3654,270180,8623,5261,3362,39295,186928,119995,85644,47474,569770,55611,28326,653482,28742,38446,262496,264630,4941,6334,7926,7992,42
2020,Pennsylvania,PA,17,222253,212284,434537,51.15,48.85,280939,305205,586144,709873,74.13,43.6,620770,614527,11869,42187,478,20890,333,19610,346054,363819,15597,258370,14927,7642,7285,278685,16492,10028,6464,23846,140451,138151,134019,87306,592279,49611,38485,700789,15810,22535,284018,291073,3760,4325,15544,17576,42
2020,Pennsylvania,PA,18,266084,118163,384247,69.25,30.75,279880,309616,589496,693130,65.18,38.8,508221,498485,18113,126269,1132,28506,231,23615,332661,360469,24225,249306,21276,9298,11978,279974,19757,9885,9872,29823,139111,132663,110598,83258,591766,52355,31627,667620,21475,28319,216052,224718,15475,20371,39472,46257,42
2020,Rhode Island,RI,1,158550,0,223860,70.83,0.0,227194,248151,475345,532603,47.09,38.8,397166,351727,99106,46692,2104,18724,603,30651,257909,274694,40107,161368,42125,23701,18424,177165,44261,26725,17536,48849,100061,89909,79178,52032,444009,43355,32212,511048,16853,22881,165798,175211,4340,4958,18058,17396,44
2020,Rhode Island,RI,2,154086,109894,264557,58.24,41.54,220561,237972,458533,525195,57.7,41.0,438442,403981,68901,22504,2240,17812,187,21670,256615,268580,24175,179738,26111,14712,11399,195227,26359,16386,9973,31409,107297,104201,76803,51631,445212,41752,35451,505980,15785,20160,190757,197309,1697,2391,8531,8021,44
2020,South Carolina,SC,1,210627,216042,427111,49.31,50.58,313144,342945,656089,804679,65.1,39.7,589132,562311,52739,148293,2007,15818,676,28260,390132,414547,25497,280222,22215,10707,11508,306121,24031,12793,11238,39757,127245,169776,145218,86789,661427,71072,36802,793914,17198,24360,265799,273964,11239,17274,56451,61428,45
2020,South Carolina,SC,2,155118,202715,364215,42.59,55.66,274821,301349,576170,724704,63.21,38.8,496429,471411,42632,175457,2359,14907,561,22515,350774,373930,19997,249737,17294,7790,9504,275228,17329,8792,8537,45375,128952,149039,104128,65901,589340,69018,31919,703971,20463,25754,215567,222664,12681,17662,64290,74274,45
2020,South Carolina,SC,3,95712,237544,333564,28.69,71.21,269505,288745,558250,698745,59.75,40.4,531099,511418,37810,127328,1755,6843,183,19155,342111,356634,16408,251943,12944,4618,8326,272246,11264,5235,6029,72508,148015,144768,70433,43407,573902,72081,25852,677271,29483,38063,223872,225756,12528,16725,44188,47820,45
2020,South Carolina,SC,4,133023,222126,360550,36.89,61.61,283497,311046,594543,739881,60.64,38.3,533124,501477,62582,134878,2275,19142,1376,27207,358598,381283,33524,245390,26961,11146,15815,272430,26357,12259,14098,56917,129305,151800,105416,61044,600447,68061,30119,721038,20662,26027,233442,240390,11715,18537,47772,52348,45
2020,South Carolina,SC,5,145979,220006,366258,39.86,60.07,273753,300736,574489,729840,63.75,40.2,494708,475024,34465,189225,3026,11445,212,21540,353185,376655,16925,254043,13712,5998,7714,278874,14878,6984,7894,59946,154960,159220,81825,44941,590004,77593,29389,716227,20716,26781,217728,222270,16913,25618,67202,73808,45
2020,South Carolina,SC,6,197477,89258,289653,68.18,30.82,257934,278063,535997,662925,54.04,36.2,251975,236300,34429,369873,1722,7603,447,17111,323927,338998,19077,239789,13803,4342,9461,261156,12129,4778,7351,67441,148443,130393,57972,35481,548546,80970,22693,622137,17634,21118,97184,95198,39905,55008,120484,138215,45
2020,South Carolina,SC,7,138863,224993,364091,38.14,61.8,281133,315572,596705,730743,61.02,44.1,489862,472170,32240,201506,3807,7815,178,15923,349955,380788,17428,259462,15319,6352,8967,293708,14327,7537,6790,68390,177102,164968,73402,42349,608881,77968,25277,715623,25442,32993,206899,216799,23739,31775,65041,74237,45
2020,South Dakota,SD,1,0,321984,397732,0.0,80.96,338633,336627,675260,879336,58.9,37.2,735228,715328,36088,18836,74975,12413,544,30020,442948,436388,21724,316712,16239,5682,10557,316484,14154,5989,8165,45170,175340,189743,116400,53591,697821,54841,31953,849910,27127,34119,331537,320118,1694,1607,8487,5899,46
2020,Tennessee,TN,1,68617,228181,305423,22.47,74.71,282618,302061,584679,720629,52.24,44.0,672048,654954,28421,16539,2060,5996,684,17658,353451,367178,13988,270658,9596,2364,7232,288879,9393,3789,5604,71934,191627,145903,69031,40090,604700,72224,24345,701599,44540,58025,275223,278439,2162,2096,5537,4663,47
2020,Tennessee,TN,2,109684,238907,353197,31.05,67.64,294025,318615,612640,754370,57.65,40.0,665818,644173,32819,45392,1729,12534,419,21219,367543,386827,20268,272827,15262,5936,9326,295710,15639,7266,8373,53438,150911,148817,102490,64918,626637,70403,28887,736987,34360,41073,283215,293329,5200,8072,15262,14667,47
2020,Tennessee,TN,3,97687,215571,320299,30.5,67.3,286590,307815,594405,736098,53.89,41.7,618130,599004,31193,77335,1948,10262,328,20781,359725,376373,15014,269857,11709,5024,6685,288768,12744,6303,6441,65136,170203,158274,82413,48119,610084,71391,27324,714764,34282,43239,260284,264421,8115,9609,25696,29996,47
2020,Tennessee,TN,4,111908,223802,335710,33.33,66.67,307283,323860,631143,800304,53.19,37.7,665089,629307,55130,75300,1912,14847,224,29964,394668,405636,25652,278509,20564,8210,12354,297598,18414,7848,10566,64173,185198,156613,86927,42091,647363,80704,29097,782332,36073,44770,284199,286176,5186,7044,30306,29747,47
2020,Tennessee,TN,5,252155,0,252169,99.99,0.0,307016,335554,642570,773359,39.24,34.9,510639,461543,74041,188374,1327,25309,403,27456,373482,399877,56713,248046,42785,16185,26600,281786,38029,15739,22290,57406,125561,135711,137526,80448,634726,63298,33990,750398,24707,30212,218328,224239,15985,22614,66992,75428,47
2020,Tennessee,TN,6,83852,257572,349578,23.99,73.68,302476,319210,621686,786772,56.23,40.7,705467,684778,36344,38140,2071,8425,413,21231,388060,398712,16041,285171,12561,4744,7817,299903,12907,6400,6507,68026,196304,152360,86056,43761,640926,75147,29522,772073,35616,45971,304606,307480,3503,4772,14074,13575,47
2020,Tennessee,TN,7,95839,245188,350635,27.33,69.93,298691,311436,610127,789106,57.47,37.6,655291,627152,42430,78390,2908,17434,971,26496,391492,397614,17052,278427,13821,6443,7378,286476,16188,8772,7416,55267,163606,143536,104457,59421,628708,88902,30843,768824,29630,39483,286170,286399,5990,6622,29745,30696,47
2020,Tennessee,TN,8,97890,227216,331853,29.5,68.47,266752,290540,557292,708450,59.55,40.9,525906,511415,24552,140246,1834,15163,178,17802,345208,363242,13706,249132,11960,5660,6300,271427,12351,6762,5589,51185,155568,133701,87199,59298,574429,84092,30869,689274,21850,29211,228407,234776,13335,17241,49263,53757,47
2020,Tennessee,TN,9,187905,48818,242880,77.37,20.1,249211,291654,540865,703180,44.91,33.8,178292,157045,52232,469090,1389,12927,339,16381,330833,372347,28390,221570,20983,6658,14325,266467,18261,6926,11335,61168,140670,138579,70848,43879,554550,84051,26143,687217,10968,13390,72949,75321,54828,72151,153413,179402,47
2020,Texas,TX,1,83016,219726,302742,27.42,72.58,273612,292305,565917,722673,53.5,37.3,541959,444532,128552,125010,2773,8255,439,28465,352928,369745,35704,236262,27327,10023,17304,258140,25166,8999,16167,71162,135396,163997,70246,33673,576433,86096,26370,696119,32268,42012,224052,225801,12070,17121,41785,47015,48
2020,Texas,TX,2,148374,192828,346726,42.79,55.61,333155,344762,677917,809751,51.15,34.9,506833,355091,268174,103079,3192,64451,720,53175,402041,407710,93364,222221,77413,33521,43892,231037,77138,36587,40551,58991,102733,144555,145055,84841,640933,99688,40465,799780,18235,21166,232907,228643,6198,8589,40292,45629,48
2020,Texas,TX,3,179458,230512,418591,42.87,55.07,366928,389903,756831,896996,55.31,37.1,582009,490492,134792,87968,3666,151550,595,50143,441640,455356,105442,232648,90957,43323,47634,249014,92947,47942,45005,34532,79084,151466,205121,121474,707855,116025,49142,891668,15656,18028,271796,273213,3154,4171,37911,42015,48
2020,Texas,TX,4,76236,253837,337803,22.57,75.14,290526,307455,597981,765400,56.49,39.2,606758,539296,111588,79169,5862,10626,410,34439,377858,387542,31403,258461,23642,8423,15219,273164,23942,10349,13593,61092,162105,169776,82731,39693,611697,89937,30212,747078,27588,34701,264966,268733,8359,10921,26800,28446,48
2020,Texas,TX,5,100743,173836,280413,35.93,61.99,296789,293809,590598,758131,47.48,36.0,543871,384913,224353,115997,4347,15671,356,43560,382377,375754,77453,228752,53332,14705,38627,231939,46998,14872,32126,89082,152200,151029,66413,34567,593905,101434,29048,732015,27446,35495,232730,232676,9107,12351,42640,43945,48
2020,Texas,TX,6,149530,179507,339992,43.98,52.8,309525,337251,646776,802430,52.57,35.3,496843,376371,189731,173033,3562,38587,2417,46868,389390,413040,56313,233073,51326,25126,26200,258883,52097,26271,25826,59420,126935,172465,103062,53903,633613,89264,34622,793003,16948,23147,224020,226987,7673,12368,71956,79201,48
2020,Texas,TX,7,159529,149054,314125,50.79,47.45,331036,352361,683397,793324,45.97,35.1,469350,317657,243419,120468,3816,88078,374,52594,387312,406012,142891,180518,107847,42671,65176,199509,105491,47361,58130,56380,79405,130994,159930,105242,622694,97328,40649,790216,20736,26168,209904,210995,6507,8034,49190,55858,48
2020,Texas,TX,8,97409,277327,382471,25.47,72.51,352780,344563,697343,879149,54.85,37.1,697063,550456,207158,75553,3597,26290,434,49780,445488,433661,66536,282029,51032,19719,31313,274531,49355,20677,28678,67328,151151,174890,123355,60830,695060,127813,35658,847808,26321,34794,308533,307578,5174,7446,28451,26353,48
2020,Texas,TX,9,172938,49575,229107,75.48,21.64,325675,353119,678794,773209,33.75,33.2,257378,80133,302280,289437,1928,91480,363,43780,375681,397528,159742,152795,122383,50497,71886,175661,123631,53827,69804,104357,129023,132757,81350,46429,608606,109221,26824,769062,21455,26686,106725,100619,22879,29179,107959,127617,48
2020,Texas,TX,10,187686,217216,413894,45.35,52.48,364201,376307,740508,904588,55.89,35.7,615809,462433,261338,103509,4895,55422,273,52171,450287,454301,84382,262780,70252,31169,39083,270471,71323,34513,36810,57354,131070,166035,159929,86308,710921,100468,39691,890424,18385,23840,283896,282804,7065,8441,40029,42329,48
2020,Texas,TX,11,53394,232568,291773,18.3,79.71,303168,302625,605793,778607,48.16,35.3,635707,419817,306244,31095,4668,8525,299,46490,392317,386290,45774,253814,36247,13107,23140,257872,31908,12845,19063,83441,152028,156156,79846,34164,611314,86523,31143,757034,29177,41015,279070,272142,2089,2113,11961,11196,48
2020,Texas,TX,12,121250,233853,367021,33.04,63.72,315779,341741,657520,824946,55.82,35.6,627565,502088,197984,71108,4798,29107,793,48935,402583,422363,48823,260533,38697,16549,22148,281365,41293,19083,22210,59449,142548,169778,116026,59648,654504,87796,35761,809442,20210,31032,280091,285635,5295,6722,27109,29368,48
