Year,State,Congressional District,Dem votes,Rep votes
2020,Alabama,1,"116,949","211,825"
2020,Alabama,2,"105,286","197,996"
2020,Alabama,3,"104,595","217,384"
2020,Alabama,4,"56,237","261,553"
2020,Alabama,5,0,0
2020,Alabama,6,0,0
2020,Alabama,7,0,0
