Total Population,Median Age,White,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Male 18+ birthright,Male 18+ bloodright,Male 18+ naturalized,Male 18+ not citizen,Female 18+ birthright,Female 18+ bloodright,Female 18+ naturalized,Female 18+ not citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,No income,Median income,Total poverty,Income below poverty (White male),Income below poverty (White female),Income above poverty (White male),Income above poverty (White female),Income below poverty (Black male),Income below poverty (Black female),Income above poverty (Black male),Income above poverty (Black female),Year,State FIPS,State Abbr,District
736086,35.7,218859,392343,2119,50491,263,17723,349238,386848,96148,171518,90071,46567,43504,200738,99085,54545,44540,75301,153668,126448,83838,44385,591361,111446,26695,716740,11500,14853,92416,92547,35778,51386,135449,159983,2014,34,NJ,10
744081,39.0,432750,128923,1577,116241,149,16102,365538,378543,101433,186280,94131,45605,48526,203810,92477,48777,43700,57354,124533,108936,119647,97088,606320,83547,35109,721928,12361,15710,193749,197605,8774,12332,48078,54530,2014,34,NJ,12
732065,38.5,499956,125954,1664,35382,153,19795,353456,378609,30914,234631,31967,17181,14786,263553,31897,18365,13532,56106,162260,132918,94396,48592,592390,73931,30917,720451,15298,20845,223675,232900,10934,15478,44718,51436,2014,34,NJ,1
736430,42.8,599214,77546,832,25685,260,18801,358683,377747,23625,250364,27738,15883,11855,269787,30837,20971,9866,42514,171290,141270,108725,55138,608889,68705,35009,720884,13507,19123,271838,286097,3056,3383,31435,34543,2014,34,NJ,3
740992,36.8,485968,73914,1360,133410,271,18974,365275,375717,105779,184388,95909,47506,48403,195591,98848,51134,47714,58131,139153,111209,114065,71909,601487,104200,34437,715523,21148,26323,210777,213880,4833,6411,27131,30188,2014,34,NJ,6
755025,33.8,425243,77401,2688,63827,546,28304,379484,375541,195302,135415,157733,61575,96158,140161,155695,70780,84915,115453,150262,98183,95914,56222,613285,100555,26879,747415,28950,38801,180830,172357,8021,11334,27734,28064,2014,34,NJ,8
738702,42.7,615982,27513,650,69545,82,13587,356425,382277,45975,214749,58898,38021,20877,236406,65332,44341,20991,30685,120823,102995,157970,106258,605990,77327,44894,724417,11035,13624,281883,299217,1015,1243,10429,11842,2014,34,NJ,11
694375,37.0,498702,19115,28163,15392,664,27072,340679,353696,50110,225455,34147,11201,22946,238734,35856,14376,21480,59681,111850,146927,80941,65453,560675,83411,26288,684582,36889,43122,203353,210024,2324,2455,7734,6137,2014,35,NM,1
689321,37.6,455197,11208,123132,7908,374,21803,340335,348986,30496,229979,21359,6741,14618,242518,21309,8445,12864,67339,121077,144427,66562,52502,544259,91949,24675,678114,31044,38084,189054,190563,1133,1048,4634,3697,2014,35,NM,3
696389,35.9,567977,12192,39055,5278,233,16222,348743,347646,54349,221295,36942,12229,24713,221698,39916,15351,24565,90965,125080,137896,54183,35130,549016,89667,20526,676878,52441,66810,218676,215032,1614,1522,4460,3143,2014,35,NM,2
722670,40.7,630799,35652,2071,26883,225,14098,358312,364358,42563,234303,39766,19187,20579,244407,41783,23116,18667,41133,147013,136083,90724,78300,590337,80117,36841,702558,16470,20281,289681,292948,2710,3861,12553,13642,2014,36,NY,1
720393,43.8,559063,21800,1215,96423,69,13137,350405,369988,52491,197028,70386,47165,23221,214325,78593,54010,24583,39486,103075,106041,135808,119894,592468,87868,41962,709322,10568,13955,257245,269676,1509,1575,7785,9055,2014,36,NY,3
720624,40.2,485365,104418,2075,44918,62,28232,349446,371178,68954,192589,72894,39602,33292,213406,78417,47339,31078,55191,122844,119844,106304,86384,588409,85918,37158,707928,9721,13851,222207,231562,4885,7269,41444,48087,2014,36,NY,4
721015,40.6,345144,26199,2182,276924,375,20083,346713,374302,154807,111126,167175,97274,69901,118309,190134,114447,75687,86533,132201,117541,119817,74468,608484,116520,30211,714725,15174,19278,149212,157811,1698,2690,9905,10872,2014,36,NY,6
735611,35.6,218848,410189,2311,35166,205,16788,334910,400701,88985,148807,101306,64875,36431,186244,131871,86899,44972,91594,144335,116755,85771,51267,596770,118678,25936,727230,18595,26061,84067,87701,40555,57728,138282,169795,2014,36,NY,8
734248,35.7,245814,383271,1673,47650,158,14606,335780,398468,120860,129575,121621,72339,49282,154150,161187,101506,59681,79246,138150,113222,98242,65584,593935,115787,27863,729379,17531,19847,102012,105438,32062,47946,132209,168245,2014,36,NY,9
727304,39.0,530361,55938,1837,93058,177,14739,351091,376213,76366,171953,97062,61807,35255,191937,104626,69678,34948,72828,152315,117158,97444,61936,594007,111841,31968,720339,25706,32793,227443,239070,6430,7748,19160,21620,2014,36,NY,11
716393,36.0,534232,35372,1785,92131,599,19847,334254,382139,100617,209909,83761,38411,45350,237690,102925,52377,50548,40080,56194,74600,216349,177518,644835,68359,55112,696466,19729,27859,225758,247578,4850,4702,10945,12145,2014,36,NY,12
747559,34.3,194040,231536,4320,33076,511,41737,354485,393074,149417,154498,119384,48683,70701,177883,138609,70538,68071,136952,117128,106091,85190,56391,616675,117929,20108,736823,20881,23882,74334,70620,29442,37977,74031,86055,2014,36,NY,13
733612,30.4,113037,247245,4370,13855,415,26988,342147,391465,157583,124001,110872,39682,71190,159917,126436,54395,72041,161784,118433,98022,36716,14611,557492,127218,15396,721441,17484,24488,33773,33231,39402,50570,71197,81848,2014,36,NY,15
730820,38.9,513260,77908,3061,43003,54,19885,358617,372203,86513,184879,79784,37811,41973,201600,82447,44332,38115,60507,101841,104346,113589,102592,581750,86479,36717,711162,21702,24244,222450,233400,4616,4743,29842,33494,2014,36,NY,17
719388,39.2,560590,66923,2343,22674,70,21918,357053,362335,39958,225322,40872,21262,19610,234105,42096,24878,17218,49210,126152,132770,91764,70990,575552,79632,33287,695420,20637,25132,247957,251038,5465,6295,24013,26285,2014,36,NY,18
722569,38.9,590447,65444,1184,29950,179,22714,350927,371642,24899,250086,24728,13685,11043,272098,26652,16026,10626,40589,131917,140908,94223,79953,600306,60028,31125,693831,24792,30229,251075,262399,8396,10174,21478,22447,2014,36,NY,20
713482,40.6,644387,27396,1862,17240,195,15350,352382,361100,16251,260332,14854,8083,6771,270295,16952,9895,7057,55078,164539,147879,64490,47617,590407,69909,24928,679514,39022,47371,265594,268094,4590,4800,6666,6202,2014,36,NY,22
715480,39.8,655120,20829,4344,16111,147,14222,355443,360037,15517,266380,12134,4858,7276,274129,13069,5929,7140,52632,164118,141628,59806,56262,593481,69302,24189,672577,42188,52200,263579,264664,2659,2862,4694,3714,2014,36,NY,23
721240,38.2,544468,112800,2630,25480,167,18932,347807,373433,25819,241323,26000,14818,11182,267274,28880,17492,11388,49684,119748,140205,96079,76274,592428,63988,27299,696566,23643,29185,231489,241603,17253,22760,33044,36565,2014,36,NY,25
718854,43.0,672479,17413,4932,7770,477,10583,357772,361082,9255,268315,11377,7004,4373,274646,11352,7105,4247,40878,163239,155950,80715,61089,594911,62558,29869,693112,23480,31249,299096,302442,1572,1685,3767,3598,2014,36,NY,27
723744,39.4,549896,71298,1267,22620,124,19511,351415,372329,63899,209394,58231,27421,30810,228308,60227,31239,28988,59428,160676,133283,81574,55353,587702,81687,35290,717209,9585,14943,255134,265460,2654,3545,30023,34265,2014,36,NY,2
760308,36.7,138205,380667,3351,98888,483,35246,356855,403453,126649,127399,138817,83401,55416,150815,165044,105529,59515,98009,150418,135170,77692,40161,615512,118910,27219,748400,8523,11374,56770,56556,19206,27892,149847,178814,2014,36,NY,5
740178,32.7,359441,79977,4072,135479,171,25848,367377,372801,155203,150099,125834,51169,74665,155212,133435,63236,70199,150938,113414,79920,87927,53482,591532,121572,22973,731294,40160,45291,138693,132125,9816,12483,25733,28919,2014,36,NY,7
729578,35.5,517046,30517,2646,128204,43,19250,357295,372283,115930,178244,105580,51304,54276,188075,115536,62512,53024,66614,81889,68354,153885,150145,607375,93244,42195,711409,35324,41242,216187,212823,3468,3818,9998,11065,2014,36,NY,10
733388,39.1,354051,235984,1834,35630,162,23399,343505,389883,96244,163669,92618,50026,42592,193956,112498,66940,45558,71780,120498,114808,99396,88480,592994,102019,33487,718985,12222,17003,155047,161185,14755,21256,87542,108501,2014,36,NY,16
721129,35.5,339350,79824,3211,119616,302,22608,364286,356843,189915,123573,163928,68485,95443,126606,159107,76370,82737,126053,141044,108241,82292,43282,596242,117901,25490,703188,21244,29998,146682,135383,5644,7260,28760,31083,2014,36,NY,14
712982,43.6,639703,31317,1236,11002,68,18105,357639,355343,19353,265297,20580,11092,9488,265195,21238,12757,8481,56790,159409,149075,73482,60620,600634,68611,27653,681516,31200,37051,275902,275507,3312,3108,9280,8325,2014,36,NY,19
719085,39.9,664432,21599,6000,6554,531,13465,367606,351479,12449,276623,11667,5913,5754,264731,12303,6579,5724,58377,175928,148062,59391,47558,593138,73563,25989,677014,39940,48312,277218,273151,1736,1132,4252,3270,2014,36,NY,21
716454,39.6,609929,59118,3946,17832,78,18219,350476,365978,19653,253113,16591,8465,8126,269094,19386,10573,8813,51728,145134,144924,78447,60694,587430,67102,27419,688196,30354,37738,257810,264104,9798,11287,16126,16965,2014,36,NY,24
716222,38.9,524011,129414,2814,24412,211,18752,341980,374242,28008,243691,22723,10875,11848,276205,24610,12486,12124,56065,139860,148742,77844,63547,594623,62180,25093,697078,27123,33690,219958,230726,19881,26730,37499,42469,2014,36,NY,26
727784,37.0,285671,384944,5099,10059,240,17223,344288,383496,35037,234720,22845,4225,18620,283396,17929,4292,13637,100138,148549,138572,56930,32752,586091,90130,19855,697063,19541,25725,113101,115225,50697,70969,114311,133374,2014,37,NC,1
762270,35.8,552029,123573,7459,26605,798,26644,374573,387697,42131,242183,30005,10805,19200,259583,30535,11800,18735,64625,129389,159935,91274,49469,593290,87105,26924,745898,29699,38316,235069,238211,12782,15081,44113,47927,2014,37,NC,2
749638,34.6,558040,140163,3854,10087,929,18539,379875,369763,21760,281516,15329,5555,9774,273792,15396,5862,9534,60563,135689,173744,70009,34434,611373,77123,24240,715444,30577,40093,236546,227687,16969,21576,46090,47721,2014,37,NC,3
743061,40.1,602990,94477,2160,11220,107,11823,361192,381869,35049,254366,23067,6376,16691,281135,21510,6765,14745,78268,145995,147747,85747,45669,608390,82040,23724,723757,44121,50282,243327,251483,9881,13167,31651,35772,2014,37,NC,5
749563,41.6,580527,115695,3881,15567,262,14501,363258,386305,30006,259135,21548,7304,14244,285606,20880,7803,13077,72360,146554,153089,97408,51019,617050,83860,26462,730849,30064,38582,245525,255440,10093,12846,41934,44721,2014,37,NC,6
737740,38.4,501662,138747,52985,8326,198,14427,362180,375560,33484,247006,21688,4663,17025,268273,18394,5408,12986,94065,159967,151169,57796,25178,586224,94729,22278,719718,31991,40199,210643,209293,18250,23667,42828,47380,2014,37,NC,8
769339,37.7,603755,99344,2785,30649,218,18020,372302,397037,41907,237988,33216,14835,18381,263424,36129,17485,18644,33348,90529,146741,166458,79045,603864,77751,35851,763474,16952,22833,275907,284081,5980,7270,39654,45124,2014,37,NC,9
737861,43.9,666415,23635,11209,8024,520,14189,362380,375481,21209,270486,15511,4630,10881,289273,14592,5860,8732,84291,158407,166390,75273,42410,616390,76605,21838,720033,49955,59637,268306,276134,3807,3785,5711,6095,2014,37,NC,11
762734,38.8,566182,130496,2348,18701,301,18183,372879,389855,36836,245691,28001,10338,17663,267752,26959,11618,15341,50224,114573,150636,130919,67240,602234,74074,32200,755443,18897,24261,257263,262398,10115,12339,50434,54606,2014,37,NC,13
760207,32.4,421896,242601,3198,40848,917,23517,365750,394457,67161,231785,47162,14909,32253,265548,44111,16516,27595,54437,91720,136287,115661,83365,614223,88309,27068,724425,27801,31737,169088,171467,23230,32264,82002,94961,2014,37,NC,4
752216,40.4,557590,130244,13497,5166,639,15987,367912,384304,34665,256230,23330,5697,17633,278966,19851,5690,14161,83481,145153,169532,81358,37320,607088,76774,23857,741566,33208,42383,235579,240795,17964,22007,41236,44760,2014,37,NC,7
737538,41.0,606710,85384,2202,10787,99,15109,358313,379225,22883,258232,16369,5678,10691,283263,15967,6409,9558,82314,148128,163104,78307,39722,602525,79182,23142,723438,38577,47602,251815,258189,12040,15320,26757,28445,2014,37,NC,10
760454,31.8,281434,384086,3121,35791,855,18377,365464,394990,78839,213024,53805,13554,40251,255995,43684,12774,30910,89288,129663,141124,77871,32625,595703,97618,21151,735831,25603,28938,110311,105839,46738,66742,121187,137446,2014,37,NC,12
704925,35.9,628770,10781,36989,8124,312,14836,358862,346063,13071,268866,8719,2962,5757,259850,9189,3878,5311,39740,125620,167890,90032,35245,572261,40437,29391,679912,24386,32966,283335,266527,2160,1334,3944,2594,2014,38,ND,1
722477,42.6,677937,14673,1109,14988,74,10684,353532,368945,13344,254274,16118,10490,5628,272275,18905,12771,6134,38290,161162,146277,103147,56520,592398,61472,30610,711084,21480,29439,306146,311297,1508,1166,5103,5461,2014,39,OH,16
724254,36.6,523263,158398,1303,20172,320,15137,353181,371073,22506,245027,17453,6994,10459,265612,16523,7447,9076,52098,138927,131615,93418,54921,573965,73956,26971,704024,25294,28841,225408,230167,24758,33468,44976,49439,2014,39,OH,1
724395,39.4,634000,62532,1197,9125,193,14484,353256,371139,10200,256109,9092,4627,4465,279580,9676,5236,4440,60583,159725,130365,90225,55182,584175,70105,26940,713395,37230,47408,268693,271857,7599,9378,21311,22579,2014,39,OH,2
717325,40.0,649752,36875,1659,5253,130,17357,358033,359292,5454,267043,4713,2134,2579,271674,5888,3523,2365,54197,203345,147133,49835,29245,579257,63038,24470,687584,36249,46892,273532,272385,5284,5983,9608,8822,2014,39,OH,4
715394,42.6,682534,16244,947,2870,37,11178,355356,360038,3258,272505,3218,1549,1669,282687,3240,1976,1264,66446,223806,136667,48005,27271,590067,74338,22045,691759,47874,60543,278160,278895,1871,1969,4006,3276,2014,39,OH,6
721392,40.6,669723,28281,1073,4469,82,14568,353568,367824,6359,259458,5832,2912,2920,277215,6707,3843,2864,63879,199540,133165,60277,31279,579643,65445,24880,705695,35743,46125,286364,288191,4763,4649,8527,8676,2014,39,OH,7
715074,38.2,544111,111974,2474,9371,298,29257,346920,368154,14404,249161,15063,7984,7079,274150,14691,8783,5908,67136,164957,148103,64553,34994,580475,68565,22602,700551,38458,47607,221179,227021,19640,24776,31197,32874,2014,39,OH,9
709140,38.2,285328,380059,1764,16222,109,19117,331361,377779,16994,231967,17234,9037,8197,278527,17671,10101,7570,71757,136524,139497,68104,54647,575847,83056,21097,688887,20289,24190,113001,116128,55457,73442,112043,132366,2014,39,OH,11
737223,38.2,655264,33063,897,24679,202,19323,363937,373286,17443,257413,15541,7921,7620,269530,15975,8293,7682,38159,137048,129948,118634,70631,588958,65787,31686,717172,28992,35450,284154,292714,2880,3262,11871,10863,2014,39,OH,12
719971,43.1,660322,29864,640,14074,72,12241,351875,368096,13443,252478,16128,10140,5988,269907,17879,12088,5791,43316,157012,139317,101943,61096,587703,62366,30229,708884,23464,31202,295221,301883,2260,3033,10572,11935,2014,39,OH,14
734710,32.1,423345,239134,1415,24208,213,29992,356136,378574,48024,226438,36513,13950,22563,255719,34013,14551,19462,64766,139682,136793,80399,39399,578935,76177,24218,714003,33158,38262,168257,168429,35571,45268,73749,81327,2014,39,OH,3
724014,39.5,669435,21240,1348,9327,286,13543,354220,369794,7843,259409,9167,4978,4189,279904,7581,4732,2849,39774,178910,146584,72243,45567,586471,57944,26567,704726,33524,43280,286639,290054,2623,2853,6858,6579,2014,39,OH,5
722987,38.5,645224,42981,1284,12436,322,14598,354291,368696,13568,253164,11310,4740,6570,272261,10943,5546,5397,54024,178559,135581,68658,37972,578090,67624,26089,704813,35580,45517,273719,274375,5082,6547,14945,15163,2014,39,OH,8
722301,39.1,558053,123516,1314,15337,286,19125,349072,373229,15220,254101,12290,5359,6931,280691,13675,7382,6293,52232,141481,160528,76089,55279,588813,70138,25324,694933,32479,41646,229862,234005,17945,20957,36731,42025,2014,39,OH,10
715744,40.6,600502,82346,1277,9596,73,18105,347495,368249,12492,260219,11293,4619,6674,286100,9961,5139,4822,54299,196762,136726,68232,34114,594593,67657,22788,693971,39753,51184,244815,249444,13646,16804,22030,25094,2014,39,OH,13
733979,37.6,670550,26313,1376,16598,196,15317,369344,364635,14686,272276,11700,4986,6714,271762,12090,6019,6071,48833,164592,137128,88701,53283,598269,79841,27768,702027,38537,46091,280065,282743,2613,2085,7593,7028,2014,39,OH,15
765752,36.0,556838,67002,42653,17916,484,58360,373724,392028,37164,248212,25554,7803,17751,273487,23580,8513,15067,56191,138204,162021,98595,45279,601814,75677,26874,754226,27349,35832,241096,244867,9888,12178,21141,21988,2014,40,OK,1
773836,34.5,533808,104939,33617,23023,584,52001,378423,395413,56232,239828,37976,10477,27499,266496,32976,10991,21985,71432,131411,151387,95178,50626,606598,78948,25181,756099,36046,44346,220099,221984,13804,16952,34417,36726,2014,40,OK,5
749835,39.7,507244,26171,114629,4008,595,86519,372987,376848,10137,272977,7559,2191,5368,283133,6466,2389,4077,81546,185546,153562,54382,26792,601406,89505,20801,724733,39363,49612,201883,200902,3951,4058,7653,7201,2014,40,OK,2
761781,36.5,610111,27979,43905,10130,1492,43985,384221,377560,22707,273169,16201,4857,11344,272993,14415,5331,9084,65368,172032,150786,72694,33331,606661,83024,24329,730115,34959,44029,258212,253466,3114,3511,8394,7451,2014,40,OK,3
767647,35.0,591121,50916,39295,16319,1235,55245,382171,385476,17695,273326,14069,6247,7822,278261,16848,8516,8332,56665,162083,157923,75798,40191,612929,79396,25645,738846,32414,41561,248443,248462,5138,6298,17976,17469,2014,40,OK,4
775034,41.7,698984,4599,14042,7602,1760,26577,385942,389092,31779,274600,22629,6606,16023,283037,20942,8285,12657,63853,152214,197886,78843,44693,631899,77075,22301,758342,53397,61641,282905,287564,843,440,1728,1016,2014,41,OR,2
787945,36.6,622539,41161,6846,52166,4719,34054,390710,397235,61228,259168,48522,19951,28571,268160,49950,24048,25902,56992,115544,180535,125453,75634,651584,75045,26877,773222,43487,48342,259802,260384,7946,8614,12192,11426,2014,41,OR,3
779343,39.1,665794,6919,8455,20642,3568,32373,383518,395825,51135,251426,36826,12878,23948,268580,36512,14105,22407,59392,132683,184068,93643,52897,625937,79636,26260,763966,40564,47903,278246,287797,758,839,2528,1984,2014,41,OR,5
787501,37.1,636507,12234,6980,54753,3007,32375,388592,398909,64851,242607,50160,19552,30608,256184,50887,23392,27495,50352,111707,171605,126849,73657,631259,79702,30367,774065,32151,37099,276091,280889,1462,1380,5057,3697,2014,41,OR,1
770520,41.2,693844,5787,10832,17096,1459,28435,380291,390229,24495,285563,17480,6430,11050,297654,19367,8300,11067,51033,144975,199462,81010,52396,647112,77026,21541,754279,61977,68342,272833,277238,1129,910,2025,1419,2014,41,OR,4
711945,40.5,608110,53744,854,14237,149,18175,350294,361651,17336,253492,14678,6447,8231,268878,15054,7601,7453,56274,192275,118670,77607,44429,580308,57774,28898,690655,20820,27672,269987,274598,6622,8577,16854,17602,2014,42,PA,4
705306,33.7,335247,252154,2261,49112,310,18865,338967,366339,49440,211193,42576,18688,23888,242661,43090,22221,20869,89540,159754,100955,65839,45889,566276,91451,22352,688649,26908,33782,133133,133566,31262,38289,80426,95630,2014,42,PA,1
701824,42.0,646214,32911,854,6369,136,11786,345048,356776,7561,260930,6516,3482,3034,276040,7404,4270,3134,49322,203369,117844,74322,39637,579132,60285,23993,674813,34636,43683,271526,275209,5003,6142,8724,8575,2014,42,PA,3
715481,40.6,628372,30807,627,29440,66,13185,349099,366382,22905,243546,21226,11004,10222,262028,23592,13181,10411,37870,141406,106605,123124,78723,580071,60478,34979,696762,17051,20660,283444,293520,2511,3167,10756,10935,2014,42,PA,6
712481,41.4,629178,38159,537,29932,82,11111,348896,363585,20883,244586,21840,12309,9531,259266,24408,15378,9030,37018,141024,109649,117148,82827,580151,68535,36406,689359,14015,18732,284555,296873,2232,2304,13059,14108,2014,42,PA,7
702362,42.3,663651,20545,1034,4284,302,10182,346333,356029,6108,266339,5416,2120,3296,280426,5012,2689,2323,61441,230686,111680,54952,29345,583161,65091,23140,679638,39923,52340,276280,278510,2965,2845,5391,4825,2014,42,PA,9
706538,42.1,634836,35449,1418,10701,164,12930,347901,358637,16271,260287,13865,6299,7566,273668,14349,7532,6817,54954,202351,125159,69940,41749,589021,64409,26525,678835,30120,39242,270481,275887,3114,3770,10880,11048,2014,42,PA,11
705303,44.9,658687,21942,579,10907,150,10889,344464,360839,7075,263038,7764,4902,2862,282010,9139,5697,3442,40095,185223,128699,95901,60835,588430,59579,28216,691149,22932,32853,292678,299691,2757,3258,6521,6696,2014,42,PA,12
705049,38.6,508811,150199,1190,20327,142,21216,336675,368374,20562,256680,15998,6167,9831,289118,16435,7593,8842,41593,167943,136004,85590,61908,600586,57945,24179,677837,28088,36428,208478,217367,19957,28532,44358,51494,2014,42,PA,14
713791,37.3,590074,46877,2506,13134,196,22906,349390,364401,30871,234566,22941,9253,13688,253415,23858,10922,12936,76793,174400,99929,73986,39783,565349,65459,26490,693512,28053,34926,252134,260240,6299,6320,16123,14701,2014,42,PA,16
701861,42.0,622302,41937,1394,12227,231,13872,344108,357753,17424,252737,17310,9268,8042,266572,19648,11727,7921,56852,201256,132241,64434,35697,583454,66317,24185,676631,32963,42111,260588,268049,4682,4746,13908,13763,2014,42,PA,17
715511,33.2,225206,419932,2102,33801,383,18225,328035,387476,31859,227190,25649,11545,14104,284321,29367,13810,15557,70031,137003,103005,75296,73618,591841,103365,21740,683901,17875,19111,82049,87318,55606,78171,127644,151606,2014,42,PA,2
706409,40.2,665168,16516,1317,11476,97,9395,358785,347624,13031,277984,10724,3621,7103,272977,9054,4084,4970,47298,211241,109718,63330,41177,595950,70395,22544,659788,43347,51880,271013,266125,1408,1108,2418,1844,2014,42,PA,5
707804,42.6,630968,26216,846,31861,46,11535,347125,360679,21404,241239,25550,16304,9246,256283,27806,17899,9907,32926,155413,127034,110884,69672,581028,62272,35126,698728,13517,18603,292640,298788,1579,2959,10386,9976,2014,42,PA,8
705770,42.9,659517,23852,1293,5931,201,9975,353296,352474,9103,266786,10322,5651,4671,270867,10727,6620,4107,60728,211658,121449,61974,37154,586187,66802,24132,675806,34329,44023,282029,277150,1996,2228,7616,6606,2014,42,PA,10
719828,38.1,471907,133033,1753,62814,946,17929,347249,372579,54358,209016,54036,29207,24829,235583,55953,32339,23614,61548,157621,115810,96443,61774,583054,74531,29272,709663,20094,24052,206546,214386,12300,15304,48590,54296,2014,42,PA,13
713582,40.5,606504,34201,1459,18029,39,17903,349339,364243,22550,245004,23713,13458,10255,264090,24463,14611,9852,58017,174381,120238,81048,52775,585688,59820,27684,690786,22920,29857,264319,270426,4409,4292,12508,11163,2014,42,PA,15
707884,44.1,664928,17244,927,13153,100,9679,345801,362083,11893,262600,10630,5293,5337,282582,10398,5712,4686,34488,174184,129274,110387,63604,592917,58410,30201,689821,20738,28755,294827,307342,1345,1749,5582,4947,2014,42,PA,18
525725,40.6,445456,21093,2906,16707,77,12031,254869,270856,25777,176602,24964,12782,12182,191947,26321,14520,11801,45825,101304,98765,69141,43817,440168,49284,29120,506241,18758,24914,189378,197977,2670,2687,6903,6749,2014,44,RI,2
527527,38.6,411149,45734,2045,16287,459,17314,254957,272570,42192,159864,37003,17673,19330,177973,41152,22413,18739,58699,94626,92177,65476,46331,435658,47494,26695,506565,21300,27877,168208,177044,5779,6768,15683,15972,2014,44,RI,1
697052,37.6,517481,134597,2135,12082,357,16979,337561,359491,25366,238794,19816,7954,11862,262400,20087,9135,10952,39935,111751,148916,110019,65687,565627,65218,30020,685391,19494,26854,228391,234510,13410,17324,47304,54226,2014,45,SC,1
673950,37.8,476940,158024,1699,11735,453,14166,328933,345017,19461,231700,15910,5910,10000,252314,14374,6378,7996,50028,118666,137679,88475,53247,541682,68581,27869,655825,21812,28098,206059,210176,14522,21600,56067,59971,2014,45,SC,2
665355,39.8,513393,124455,1335,4935,278,11360,326510,338845,16947,239148,11455,2892,8563,256451,9947,3331,6616,82439,145515,130484,56089,31692,542071,79038,21478,642841,35565,42355,209699,210860,14929,21116,40271,41892,2014,45,SC,3
678947,37.8,509073,129704,1498,15436,292,12834,328559,350388,31838,221698,24579,8351,16228,249776,21692,9063,12629,67077,122848,131173,83543,47009,544805,76927,24487,660892,28501,35776,213819,218229,15701,21457,41927,46496,2014,45,SC,4
672918,39.0,460138,181924,2668,6498,175,13483,327216,345702,14343,234231,10889,3627,7262,256008,10299,4399,5900,74868,146482,133521,63600,31680,538577,82963,23340,659637,27451,33951,195117,197066,22066,29461,59422,64880,2014,45,SC,5
665292,34.9,255784,377378,1974,6593,533,11617,325782,339510,18116,237594,13833,3679,10154,257580,10086,3441,6645,84105,142040,120907,49188,28512,543249,89878,18509,621884,19989,23165,98165,95282,47103,64459,114248,130072,2014,45,SC,6
673759,41.0,443572,199265,3828,5920,238,10460,323759,350000,18880,235662,13993,4382,9611,264809,12120,4716,7404,75175,160943,136905,60672,32225,551561,77385,21136,660349,29650,36821,182271,188063,28787,40236,59024,65376,2014,45,SC,7
834708,36.8,712496,12642,72016,9433,229,20693,419494,415214,15304,302296,11118,4327,6791,305419,9865,3973,5892,50658,171665,177014,101655,43612,662290,51199,26431,805676,31287,38126,314684,306349,2143,1660,4916,3184,2014,46,SD,1
709035,42.4,668718,14984,1734,4851,119,11531,346664,362371,13384,262599,9056,2218,6838,281827,8918,3632,5286,88680,188967,129931,58022,35086,588276,69994,20385,692362,54552,68523,263828,267924,2199,2094,4530,4279,2014,47,TN,1
714069,41.0,608855,77859,1722,8522,186,11894,348522,365547,14216,258910,10856,4130,6726,279801,10834,4943,5891,81768,169506,140161,65700,39341,586926,77968,22046,696188,41394,52955,250168,251277,9555,12225,24328,27606,2014,47,TN,3
726983,34.7,475638,181937,1941,20741,416,16832,351432,375551,52092,233212,37172,12475,24697,264260,32550,11749,20801,68035,127659,126996,105712,61668,590586,70639,26435,703395,28251,33889,196313,203457,20722,28082,58862,66363,2014,47,TN,5
720356,40.4,662364,30814,2277,6264,214,10771,353293,367063,15590,256084,11057,3320,7737,274997,10188,4162,6026,78550,185965,129821,63274,33319,581793,78247,23448,708504,43509,53119,276318,279462,3347,4690,10644,10584,2014,47,TN,6
707516,39.9,538568,138674,1621,12861,524,10266,343382,364134,12441,245967,10099,4654,5445,269139,11025,5520,5505,60387,152474,127857,84439,49711,567356,80534,25739,688434,25625,32451,231128,238702,14647,20074,45300,50920,2014,47,TN,8
716476,39.6,640645,46500,1840,10464,192,12034,348602,367874,17730,255850,14222,5190,9032,280374,12727,5767,6960,61613,148965,137729,86497,52143,589533,74019,24265,697978,40892,49176,262941,272302,6505,8796,14885,14049,2014,47,TN,2
723392,37.0,622066,58719,2558,10790,324,20802,355117,368275,24060,249306,17047,4834,12213,269255,14362,5091,9271,75074,168370,134464,65973,31098,578924,77341,23220,704829,43113,51991,255526,257608,5579,6295,20716,22605,2014,47,TN,4
723369,37.3,613121,71916,2262,11462,931,16044,358580,364789,14899,253441,11101,4787,6314,262006,13146,6853,6293,65151,157594,128805,81574,42302,570715,89967,25017,705346,38325,46563,257312,258794,7637,9766,24872,24527,2014,47,TN,7
710169,33.0,199134,460598,1701,12486,350,12488,337603,372566,31326,222106,22773,5992,16781,265521,17103,5610,11493,73517,134794,135893,65271,36387,557877,93935,21747,693496,13484,16190,81872,82339,60552,79441,145564,164576,2014,47,TN,9
707224,36.4,544512,127028,2966,7578,719,9664,346010,361214,42199,229229,27463,6761,20702,250794,24161,6737,17424,78308,138015,148494,61729,28509,560350,83350,22369,681202,35398,44829,223077,224644,15954,21947,39110,41591,2014,48,TX,1
727414,34.7,518493,75574,3987,51842,1131,17166,366949,360465,93814,201035,72855,28072,44783,204160,68236,28955,39281,61028,96507,135372,120264,68263,576983,91837,35795,718202,23462,27726,234893,227530,4565,4442,31720,32145,2014,48,TX,2
