Total Population,Median Age,White,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Male 18+ birthright,Male 18+ bloodright,Male 18+ naturalized,Male 18+ not citizen,Female 18+ birthright,Female 18+ bloodright,Female 18+ naturalized,Female 18+ not citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,No income,Median income,Total poverty,Income below poverty (White male),Income below poverty (White female),Income above poverty (White male),Income above poverty (White female),Income below poverty (Black male),Income below poverty (Black female),Income above poverty (Black male),Income above poverty (Black female),Year,State FIPS,State Abbr,District
716945,33.3,384787,89734,6626,112129,9041,49936,348802,368143,80845,183778,72018,35201,36817,202406,78264,42222,36042,79811,104114,155986,77126,40953,565200,92076,24433,708323,35224,38961,150734,154858,12882,14589,27662,32972,2014,06,CA,6
707590,33.8,522421,58493,10386,21372,2981,26823,354281,353309,50128,213151,41929,18650,23279,212155,43285,20353,22932,76953,127368,163033,41401,26037,544606,119238,23051,688714,42343,50206,211470,206879,8169,12660,17081,17237,2014,06,CA,8
723517,34.0,413513,62628,6843,102086,3969,53796,358478,365039,86843,180385,75099,33839,41260,188571,77817,39047,38770,91876,113073,155097,59408,26795,558043,102983,24251,711341,29189,34296,171266,171796,7653,10107,22112,21209,2014,06,CA,9
721629,39.3,461368,65027,3009,92109,3667,38022,349825,371804,90997,185698,80510,37244,43266,203398,85868,45990,39878,59390,88794,139611,127830,78021,583848,86765,34173,714134,20218,24634,204011,207979,5857,7799,22772,27160,2014,06,CA,11
720093,38.3,370878,41806,2695,229061,3245,32210,367931,352162,99897,206825,113764,65089,48675,179062,126898,80985,45913,74227,70249,115056,187750,122521,640524,65468,39784,709424,19821,17011,177232,151477,6237,6698,15032,12680,2014,06,CA,12
726899,39.4,360843,23999,2561,231314,10226,35611,357698,369201,111089,157885,122366,71208,51158,159487,136893,85028,51865,62924,91022,141380,137793,81126,601002,80978,37059,719231,12341,14553,165872,164191,1593,1837,9736,10082,2014,06,CA,14
713649,29.5,414871,42751,7132,65588,1435,27902,355267,358382,122165,153456,88054,27806,60248,168706,80755,28746,52009,140395,100995,117508,33209,14644,527753,121446,17967,694217,51214,60322,149569,144838,7619,9077,10937,11809,2014,06,CA,16
727638,36.5,248867,18838,3062,369707,3794,32458,364550,363088,158084,125897,153743,81236,72507,117828,162475,91950,70525,49887,79048,110104,141657,123615,585555,105404,42842,719192,9954,11599,114990,107555,1224,1694,8201,7151,2014,06,CA,17
725285,35.4,353261,22920,5457,195282,2946,34896,363188,362097,117831,151010,122770,66726,56044,147654,126687,72847,53840,98305,94252,129680,99247,53210,576710,100330,30342,716570,20247,21045,156334,151402,2416,2589,8922,8474,2014,06,CA,19
710712,28.7,492937,31545,8116,23313,826,21730,377207,333505,159212,158091,105551,25472,80079,130267,90196,24771,65425,169844,98732,97450,22904,9398,520038,135775,17345,665789,66046,77894,169419,154470,3697,4612,7165,6588,2014,06,CA,21
724506,32.1,527478,23054,7063,53221,1321,30595,357296,367210,78656,186235,63961,25415,38546,204354,60959,26601,34358,88747,99188,146535,67631,33931,550936,98862,24006,715562,46618,53605,209852,211764,3769,3622,7694,7229,2014,06,CA,22
715126,35.6,559883,14325,6457,32231,949,26895,360776,354350,83912,221181,62777,21450,41327,220948,59791,24062,35729,74574,85219,150144,87166,57042,590922,86557,25886,681845,36954,41347,229842,232252,1466,980,4802,4022,2014,06,CA,24
713059,36.5,552174,13630,4989,47762,1065,29642,353879,359180,93910,182728,79624,33953,45671,190382,80393,39041,41352,84729,85683,144796,90433,55310,565279,85129,28598,702251,29347,33797,240892,241106,892,1107,5987,4918,2014,06,CA,26
714256,40.9,315857,31919,2114,264289,1115,23720,345796,368460,101125,151208,121196,76440,44756,156632,142570,93873,48697,78045,92940,132443,122064,82096,600010,108390,29439,702817,14376,16063,138618,140729,2438,2469,13007,12893,2014,06,CA,27
709580,34.0,268633,167743,3073,88743,3612,37259,340717,368863,124979,148819,101087,43123,57964,169776,111277,52271,59006,109543,101565,133704,74972,34442,560935,107657,23787,700889,21379,25907,111409,105553,16285,22457,56201,71420,2014,06,CA,43
727633,38.7,473946,12977,2425,158705,1965,30140,356313,371320,83444,184385,88646,51628,37018,190961,100910,63391,37519,34591,66698,137013,155737,98447,595666,101567,41053,718109,14514,17093,217931,219356,933,613,6112,5005,2014,06,CA,45
717316,30.9,406450,12800,3283,85845,1718,17713,361034,356282,187877,120722,138825,49875,88950,120017,139450,53999,85451,150372,101105,104395,54887,19759,553093,119203,22109,700810,34789,40918,163337,155714,1225,1337,4808,4795,2014,06,CA,46
716473,40.5,486414,8091,2314,127556,2171,26747,353842,362631,67480,199983,78994,48670,30324,202425,88688,57038,31650,55259,78172,155352,140861,78727,596184,88913,36183,711983,18574,20860,221512,222607,405,473,3948,3161,2014,06,CA,48
717346,36.6,557618,19588,3314,47112,3153,31883,364714,352632,69072,221664,56208,25382,30826,206395,63371,30281,33090,49983,78095,150542,118628,74192,574679,100167,32660,695974,27990,30634,242785,241361,1441,1178,8686,6680,2014,06,CA,49
722365,31.0,458669,51989,5982,58398,2134,28681,365727,356638,142794,156232,106694,45166,61528,134173,125929,56489,69440,140482,105259,127047,41850,15594,558197,132288,19966,690711,46031,54858,172499,168880,5457,6720,16965,16071,2014,06,CA,51
732283,34.7,479662,59498,4722,96015,4636,44715,365147,367136,77730,210625,72820,40755,32065,204528,87762,48915,38847,56409,93726,169637,111473,59940,602626,92574,31184,722079,28434,32627,208435,202904,6171,6041,24981,21471,2014,06,CA,53
719303,37.7,390656,16163,2370,210474,1950,28105,353875,365428,97117,161278,107223,63656,43567,165739,119820,73931,45889,57713,89434,146158,124705,60074,585978,108786,31386,712165,17129,20725,174338,173888,1067,1199,6452,7116,2014,06,CA,39
714098,39.0,489768,17754,2643,96107,849,28478,357469,356629,125012,165343,131568,74357,57211,144433,154456,95680,58776,76077,88364,142262,154982,73931,616762,84285,28123,708499,34934,39318,211609,200518,2327,1763,7149,5814,2014,06,CA,28
707030,32.7,413855,29649,3968,56488,961,18780,353563,353467,181637,114801,146175,59231,86944,113025,152375,69448,82927,149321,108303,105965,62573,19814,557768,114468,20693,700715,40681,46473,165104,157844,3820,3706,10684,10847,2014,06,CA,29
735233,38.6,496009,33366,2878,91266,845,34228,362031,373202,102684,172091,111428,63798,47630,174483,124858,77181,47677,60984,94877,146234,140773,73113,608713,94721,32121,727267,25764,30450,217601,218085,2559,2210,14342,13312,2014,06,CA,30
721640,31.5,430120,77996,5593,55202,2396,35527,355723,365917,85620,178849,72453,33202,39251,189144,77788,38016,39772,91118,105544,140006,60765,36964,553990,122520,24925,704488,35248,42428,172286,171109,8582,10578,26651,29449,2014,06,CA,31
715691,34.6,356284,21044,4774,117980,838,25653,351473,364218,121042,144218,117027,59725,57302,152253,125254,69102,56152,120624,120541,124384,64872,25634,571980,119751,22958,704762,23276,28299,148619,149645,1844,1560,8433,8461,2014,06,CA,32
712287,40.7,536446,19382,1888,98655,1488,35805,343219,369068,62421,208987,68026,42882,25144,217784,85434,54580,30854,21890,53982,116101,181514,137702,603864,82048,48650,692034,19458,23410,238388,245866,1452,1211,7352,8083,2014,06,CA,33
706331,34.2,270044,29944,4375,137244,1543,17099,361923,344408,225921,113882,167451,54495,112956,98903,170078,69254,100824,175761,96741,94311,74211,28499,577438,117887,17393,689493,34244,38029,100234,89568,5702,5196,8153,6995,2014,06,CA,34
723202,30.6,411918,51152,5983,46510,2156,28637,360673,362529,133418,148627,105907,43542,62365,154844,107225,45452,61773,131789,113319,120479,44229,16092,554971,132747,21678,705483,31929,40360,166891,163576,4082,4987,19402,19665,2014,06,CA,35
722617,38.8,491076,29771,7824,24124,1277,25650,361744,360873,101669,194278,76162,27937,48225,195364,78045,32555,45490,103856,127062,153142,60800,37224,574243,100433,22600,709735,38543,44556,199772,200290,4542,4744,9756,8389,2014,06,CA,36
717062,34.9,293935,171670,5228,71339,1132,27314,346103,370959,137704,163686,107128,40555,66573,181294,116159,52123,64036,102853,84980,120448,107439,68441,593186,102447,24639,703779,23034,25872,122243,115890,17432,24609,57720,70107,2014,06,CA,37
714959,35.7,376921,28046,5503,105539,1748,24488,348853,366106,97718,159658,98976,53466,45510,169925,111882,65202,46680,105466,117206,141622,67158,31100,573006,116395,25601,705654,21120,26031,160729,163226,1642,2025,11416,12038,2014,06,CA,38
706825,29.8,381381,35424,3148,16876,1170,13123,350851,355974,205906,98804,143333,42898,100435,105428,144853,51566,93287,199535,94630,77563,26288,8659,530211,134900,17492,701890,43355,52763,145509,137004,4965,6949,10597,12401,2014,06,CA,40
723608,30.1,422046,68191,7351,40322,2243,29387,357483,366125,103715,168755,83821,35026,48795,177329,86836,38829,48007,111279,110047,128798,43480,25442,554374,129899,22457,710642,36025,40644,170532,168460,8109,8579,24016,26215,2014,06,CA,41
709377,43.0,573649,12274,16101,26001,1727,30414,352585,356792,55292,233565,44986,17672,27314,239627,46210,22596,23614,50567,98276,160579,119058,77527,589610,72769,29581,691857,31426,35124,244735,252680,1403,1276,3775,3008,2014,06,CA,2
717238,39.4,490084,45665,7404,77829,3436,37330,350178,367060,77644,201088,68386,31680,36706,217883,72320,38336,33984,68157,104328,173645,98409,46950,587868,80143,30163,705747,25826,30688,209667,215980,4863,5552,15962,18238,2014,06,CA,5
721345,37.4,470700,55921,5740,104373,5862,45654,354696,366649,50891,206498,57182,34525,22657,215561,64373,41803,22570,49221,101127,178538,100819,50341,575803,89440,30783,708986,25155,27238,200471,212405,5819,7539,19546,19000,2014,06,CA,7
715504,33.5,527435,23418,5330,46339,4756,37524,355367,360137,80225,185370,65346,29077,36269,193447,68877,32299,36578,93266,126196,145844,52395,23208,548836,101915,24309,705918,38882,48102,217773,216184,2376,3303,8510,8250,2014,06,CA,10
722995,36.5,330108,133076,5010,151565,4504,44438,351487,371508,100570,188414,90422,42399,48023,207420,94882,50213,44669,74607,79140,120731,123407,100898,604122,83075,30466,705261,20567,21303,141371,139246,14525,19311,46392,50857,2014,06,CA,13
